Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Sort order,2nd Level Filter Label,2nd Level Filters,3rd Level Filters Labels,3rd Level Filters,4th Level Filters Labels,4th Level Filters,5th Level Filters Labels,5th Level Filters
CMC Lifts,cmc-lifts,6a343656e8f6d69fe87d80f4,6a2972f1a0b589bcf6edb9da,6a343695229060500882d866,false,false,Thu Jun 18 2026 18:19:01 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 18:15:40 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 18:24:29 GMT+0000 (Coordinated Universal Time),10,application,lift-application-arbor; lift-application-utility-vegetation-management; lift-application-contractor-rental,working-height,lift-working-height-40-60-ft; lift-working-height-65-85-ft; lift-working-height-85-105-ft,lateral-reach,lift-lateral-reach-23-30-ft; lift-lateral-reach-31-40-ft; lift-lateral-reach-41-50-ft,lift-carrier-compatible,lift-lift-carrier-compatible-yes; lift-lift-carrier-compatible-no
Lift Carriers,lift-carriers,6a343656e8f6d69fe87d80f4,6a2972f1a0b589bcf6edb9da,6a3436a4abc20df95f1ded7b,false,false,Thu Jun 18 2026 18:19:16 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 12:41:04 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 12:52:14 GMT+0000 (Coordinated Universal Time),20,compatible-with,lift-carrier-compatible-with-60hd-arbor-pro; lift-carrier-compatible-with-60hd-contractor-pro; lift-carrier-compatible-with-72hd-arbor-pro; lift-carrier-compatible-with-72hd-contractor-pro; lift-carrier-compatible-with-75i; lift-carrier-compatible-with-90i; lift-carrier-compatible-with-90hd-arbor-pro; lift-carrier-compatible-with-100hd-contractor-pro,make,lift-carrier-make-ford; lift-carrier-make-isuzu,,,,
Trailers,trailers,6a343656e8f6d69fe87d80f4,6a2972f1a0b589bcf6edb9da,6a3436c960eb6fd2873af3b2,false,false,Thu Jun 18 2026 18:19:53 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 12:41:04 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 12:52:14 GMT+0000 (Coordinated Universal Time),30,brand,trailer-brand-ants-trailers; trailer-brand-b-wise-trailers,trailer-type,trailer-type-open-deck; trailer-type-enclosed; trailer-type-drop-deck; trailer-type-conveyor,gvwr,trailer-gvwr-9990-lbs; trailer-gvwr-12000-lbs; trailer-gvwr-14000-lbs,,
Carlton,carlton,6a343656e8f6d69fe87d80f4,6a2972f1a0b589bcf6edb9da,6a3436d6b890c58c8505e260,false,false,Thu Jun 18 2026 18:20:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 18:47:04 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2026 18:53:23 GMT+0000 (Coordinated Universal Time),40,carlton-type,carlton-type-stump-grinder; carlton-type-wood-chipper,drive-type; cutting-system,carlton-stump-grinder-drive-type-tracks; carlton-stump-grinder-drive-type-wheels; carlton-wood-chipper-cutting-system-disc; carlton-wood-chipper-cutting-system-drum,horsepower; capacity,carlton-stump-grinder-horsepower-35-40-hp; carlton-stump-grinder-horsepower-54-56-hp; carlton-stump-grinder-horsepower-74-hp; carlton-stump-grinder-horsepower-116-134-hp; carlton-stump-grinder-horsepower-140-173-hp; carlton-stump-grinder-horsepower-300-hp; carlton-wood-chipper-capacity-7-inch; carlton-wood-chipper-capacity-9-inch; carlton-wood-chipper-capacity-12-inch,,
