Name,Slug,Filters 2nd Level,Filters 3rd Level
Stump Grinder,carlton-stump-grinder,Drive Type;Horsepower,Tracks;Wheels;35-40 HP;54-56 HP;74 HP;116-134 HP;140-173 HP;300 HP
Wood Chipper,carlton-wood-chipper,Cutting System;Capacity,Disc;Drum;7 inch;9 inch;12 inch;15 inch;18 inch;21 inch
